Tweet,Username,AverageAnnotation
q. jungkookie what do you like?,sugasweg,0.0
migraines are the worst,selenecarreon,-1.8
i swear stuff just be making me mad. especially when it's old bro.,_MinnieMina,-1.8
 in loonie #texas. hell pbo didn't even go.,progressive4u2,-0.8
nuruwjdhdh why did i even mention only tears lol i might cry again,heavenlygyu,-1.0
 this is awesome!!!,Tape_Dispenser_,1.5
it's so windy out that we're gonna get our house stuck in tornadoes and end up in hell (kansas),Valkyrie_V,-1.6
thanks for all the likes sidewinders55567,AW_reptiles,1.8
got two pieces of gear last night in naxx. hopefully doing it again tonight,Cobblywobbly,1.5
lol so fall ball is tomorrow and i don't have a dress #yolo?,AlisonGrasmeyer,0.0
forever forcing myself to not care because i don't have the time or the energy to deal with drama,Tinijensen,-1.6
our weather is something serious. today in the low 50 ' tomorrow in the 70's#sickkidsweather,HOLAcademy,-0.2
first worst quince i've ever been too,rivera_thoee,-1.4
i'm applauding the federal government today! i was in and out of the passport office (scarborough centre) in 20 minutes! impressed. #cdnpoli,HelenStratigos1,2.0
 thanks. by the way. and it's not that i dont like em. it's that i always end up on some weird adventure with em.,EmperorBeatdown,-0.4
my friends. love is better than anger. hope is better than fear. optimism is better than despair... 1/2,BillBelsey,2.0
it's so weird when people go on a date and sit next to each other at the restaurant like what are yall doing?,babylexx_3,-0.6
waking up for work with so little time to get ready you just know you're going to end up looking like a fucked up toad in drag. #attractive,EveyFitzpatrick,-0.6666666666666666
tried to do self portrait and it's pretty shitty. but practice makes perfect,sspankayy,1.0
gratefulness makes us happy!,abundancetap,2.4
 you're the goat will. pickle just dragged me to nano lol,Please_No_Pics,0.4
no savage garden on night fever.,adriantoomey,0.6666666666666666
if anyone is free today i'm going to be shopping until 4. lmao hmu.,queenbdot_,0.8
thank god for sunday's. i need a day to chill after a busy saturday.,Meet_Nallah,1.2
because i'm feel good,shivammay15,1.5
guyz of l.a.n.m thank you for all these years together jvous aime,Alicia_Dkg,1.75
ohmygod you have got to be kidding me gin why did you disappear i can't breathe i can't,maaaaamro,-1.0
 love u bebe <love> so proud!!!!,yzxnd,2.0
dont know m i hving real friends or fake friends... <sad> #updating,yongshun095,-1.5
 always an excellent choice. always.,Dwade,1.5
 you never listen. do you? get out of there! *she says upsetly*,sith_hannah_ace,-1.0
#cancer: whether good or bad. they don't appreciate you coming in the room disturbing them.,Zodiac_ebooks,-0.5
 you are a wonderful and special human being and i consider myself blessed to know you.,GraceOnTheFarm,1.8
happy birthday i hope it's great!,chasemyyers,1.2
did naughty boy fucking indirected us again,alllovehes,-1.5
does this girl ever put a stylish foot wrong?,charitybuzzing,-0.25
 just. leave me alone.,Clem_Walker,-0.5
this type of love will make you complete.,younghov_,2.5
 *biggest hugs* you're a fighter. you'll get through this.,therobotjane,1.75
why fall in love when you can fall asleep.,Awes_ma,0.2
 sorry. lachlan. my twitter feed was just hacked. i've started an investigation into what happened. please excuse me.,Simplekindoffan,-1.4
#sagittarius often think they're smarter than those around them.,Grettahw,-0.25
 who do you think will win the birthday challenge? chester or joe?,thehybridthings,0.75
tuan alien selalu fav tweet ai haha,RainaNadia,0.8
further evidence that scarjo should play lucy from the wicked &amp; the divine,ImAmandaNelson,0.8
fast forward to the day allowance masuk please,rjfr_,0.4
i've lost so much weight that my work shirt just hangs off of me. help,r3beccagraham,0.8
 he won the last round on the cards,Fletch_Butcher,1.0
 haha true true i will,SimmonsJonah,1.0
 well done. bud.,theMonkeySmokes,1.0
 every minute feels like ...oh shit. now what...? the world is bonkers.,bar_bint,-0.25
 email me at lauren@aspiringkennedy.com and i'll send you more details! it's a cool gig. i think. <happy>,aspiringkennedy,1.25
i know its not kayla. don't worry.,PureSavageDante,1.4
the perfect #aries woman is a mix of a teacher. wonder woman and a sharp tongue (only when you want to sharpen it)...,Zodiac_ebooks,0.0
god it's gonna be bore off yanny with all my pics. sorry,Roseyanny,-1.0
i was down by the river i was shaking that ass,pllllayer,-0.75
6 ways to use your personal facebook profile for business by kim garst! always great info from kim <happy>,dawnranieri,1.2
this is why i don't like boys and i don't talk to them.,dailytroye_,-2.25
 i have so much feels for you man. you will shake dust out of your personal belongings for years after you leave.,adamwolfgang,1.0
guys my bed is little levitating please help,skyesailing,0.4
#5yearsofshaktimohan u taught us meaning of living through our passion ,barkha_as,1.3333333333333333
i'm doing both. because you can't win without me and neither can they. #pilotepisode #rememberingcory,ccart31,0.8
 aha. yeah. i did hear that. i don't know anything about what they promised and didn't deliver though.,gmcalpin,-0.5
talking shit is so fun lol,AnnellyVega,0.2
advanced warfare road to a dna bomb #1:,_asxp83,0.0
she's lying there nude on the coach wondering what i'm thinking but i can't understand her silence the way she wants me too.,Satori_Paris,-0.2
me. jesus. & tony got our sweat on this lovely am. #youcandoitevenifalone,cpugh,1.3333333333333333
 lions must be the dirtiest team in the league. cunts,NathElCuchillo,-1.4
fucking sick of little fuck boys. grow up,_fxckhan,-2.0
adjusting to a different time zone is a bit more difficult than i remember it being,_kialynn,-1.25
 siobhan all these ppl want me to sniff ur toe i won't do it,yzxnd,-1.0
alderweireld wants to stay at saints: southampton's on-loan defender toby alderweireld would like to rema...,i4_southampton,0.5
 i'd be pretty intrigue to hear what his comments are of the kc food scene.,Island_Lvng_MW,0.6
 let's just hope it doesn't get renamed icarus air.,soaklord,0.6
 that i love. no constant questionning my life choices damn right i am still watching god dam,afooltocry,0.2
gonna be sad for the next 3 months,BrennaLarks,-1.4
 i spelled fabulous wrong. i must go,Tape_Dispenser_,-0.4
 when claire answered the door. i asked her point blank if she was following me around. <happy> sorry i didn't make it back! i crashed.,corazenia,-0.5
my bellys making some mad instrumentals,Sloweezy1,0.0
 ciani...you know damn well you'd get smacked!,tamara_kiana,-1.4
i should've been at that nhs crap,_Cindy_58,-0.8
 esuk ada kali lagi eh. not bothered to get up. one whole episode of brunei?,rjfr_,0.6
 yep poor field position to blame for one score. the pick 6 not them. only really blown it a few times and on that drive.,NathElCuchillo,0.4
4) gain active gamer followers,Sug_arPlum_,0.4
 ya man on snapchat at school lol gay af,TaylorLBSanders,-0.25
congrats you and are going to do some amazing work for banff-cochrane! change is coming! #abvote,Brit_Mathews,2.6
 you're v v v v v cute and one of my favs ily,penglouin,1.6
i can't find any of the cats i'm so sad <sad>,xxviiimmxx,-1.75
somebody get me out of this fucking hell hole,puakea_,-1.0
 sorry. this is copyrighted.,Tape_Dispenser_,0.2
fuck around with a heartbreaker,The_SexiestGoon,-1.5
don't be so hard on yourself. those that do tend to be hard on others. and if that's the case you will rub people the wrong way. #chillpill,rapcatchyhooks,0.0
 hiya yeah im very well just a little bit sick coz i drank to much <sad>,Stephxtravers,0.4
oh shit there's a stop sign there. that's new. guess i'll stop next time,rscotty67,-0.6
 im doing pretty good. how about you?,sith_hannah_ace,1.6
crying over boys is stupid &amp; you should never do it.,angelnieto101,-0.8
ayatollah khamenei: gop's letter a sign of u.s.'s 'internal disintegration',knoxkp,0.5
like pls someone let me put a bunch of nails through a bat give me an excuse to do that,thrdplanet,-0.75
 that's great news. <happy>,Jimboslim3,1.6
even though sounds optimistic about the gr-#eu negotiations. he did not look that happy today. #athenslive,athenslivegr,-1.25
never seen a dl celebrate a holding call like a touchdown what a loser especially down 21-2 hahaha,brydesantis,0.25
and if i do not miss a part of you. a part of me is dead!,BrennaLarks,0.0
today stats: one follower. one unfollower and followed one person via,_catmand00d,0.0
 ang cute mo <happy>,chocoaddict23,0.8
 everything looks so cute!!!!,sjcutie77,2.2
ugh just gonna sleep. goodnight,royaljesy,0.6666666666666666
yeah i changed a lot. pain does that to people,RainaNadia,-0.6
gooood morning and happy tuesday!!!!!! you can say what you want about yoda. but he is master teacher when it...,IsaFueled,1.4
hahahah! : close enough...,theakmlshh,0.5
 yup. i can't hate that.,SharonCaseFan,0.6
 wtf bryce i love back bench,TaylorLBSanders,0.2
quit hating on . if the lakers were playing ya'll would fall silent about the clippers.,queenbdot_,0.2
 hahahah laugh at me,peabunnytree,0.4
 the theory is stage dlc will be included with characters. starting with miiverse coming with the lucas patch (for free).,GanymedeElegy,0.0
you are #exo the best thing #callmebaby that ever happened to me,eksotinkerbell,0.6
 thanks for joining us!,MeaganFL,1.2
 that looks like it's going to be painful later on...,IamArg,-1.2
i'm not a patriot's fan. but i think belichick &amp; brady r gonna skool them kats from seattle. it takes more than swag to be a dynasty. baby!,WillJaxx,1.0
 aww. thank you /.\,Tape_Dispenser_,1.0
 good face abbeer,CleanMeadow,1.0
i hate someone who tries their hardest to be noticed. i really do ..,Vannnx3,-0.4
so excited to go on the gold canyon co-founders trip next week.. woo hoo,AlbertaCandles,1.4
what's the last day of school w out tripping in the valley of tears,cieramackel,-0.4
don't waste your time trying to get people to love you. spend your time with those who already do.,RhemaTweets_,2.25
he is pretty flawless vocally ... but i just can't ..... the song is beyond creep #copenhagen2014,Refshaleoen,0.4
i loved the introduction of captain hook to #onceuponatime! this may be my new favorite storyline in the show.,ArtofConfusion,1.5
 i really want patrick mchale to do a long-form series with as much subtlety and beauty as otgw.,GanymedeElegy,-0.5
be careful how you treat people because truth and time says all #life,Emma0839,0.0
 the best answer to the perez nonsense is to turn cbb off. vote by not watching it!,caroleay,-1.25
jm gettin 100% excuse me what the fuck i should literally have 3% witb how ive referenced this shit,whateverlinaa,-0.6
 even worse. they gave my grandma a small one to take home and we kids loved playing with it by blowing on it.,the_horla,-0.6
ill follow everyone who retweets.,_Beard_Life,1.4
i almost forget. today makes 13 years since i had a girlfriend. that's 13 yrs having not even slept in a bed the whole night with a woman,Tedebearspencer,-1.2
hello. beautiful. good morning.,vainswift,2.0
wen ur friends cant follow back wen ur new wow,rockyyyyy15,0.6
let me tell you how much teachers look forward to friday ..,_kialynn,0.8
why did i stop listening to a day to remember this song is great #ifitmeansalottoyou,brittney_lerma,1.4
haircut beeen overdue! lol,Sloweezy1,0.75
an administration that has been unable to curb insurgent attacks. is patting itself on the back for repairing an expressway. #priorities,TimiFrost,-0.8
 from a favorite to a favorite. thank you for all you have given me. happy. healthy patients are the reward.,BrendonStilesMD,2.25
being honest may not get you a lot of friends. but it'll always get you the right ones.,kenkoco1,2.0
#quotes #blessed #grace #life baglady1124,lucafex,1.25
this has been such a lovely walk. i'd have taken more pics but the amount of dog shit i could've stood in was so stressful #thisisengland,Roseyanny,0.3333333333333333
a quarrel between friends. when made up. adds a new tie to friendship. saint francis de sales,ironmaids,0.5
in current form. it's not even a formality we'll win. but surely we have to be thinking about a significant rise in goal difference tomorrow,RD16_,1.2
 kinda glad i backed out but i still need it,rivera_thoee,0.6666666666666666
i am thankful... and i am happy!,abundancetap,1.75
 i miss u vinte,bbyputah,0.6
 thank you so much for your email - fantastic customer service. looking forward to our stay #travel #bohoblog #happyholidays #ibiza,Happy_Boho,2.2
 hahahahah miss yaa,annepute,0.4
 nobody cares.go to bed,d_izzzle,-0.6
i had a dream last night that i got michael jordans face tattooed on my arm and austin mahone told me he liked it.,Tinijensen,0.4
 i don't usually go to videogames. but wing commander--when your craft was destroyed. you were rescued but went on losing track.,ps_malone,-0.8
oh man professor phipps is strugglin,surmerntha,-1.6
repetitive. sorry. these sm duties likely farmed out to cottage industries happily profiting.,bonchette,1.2
that's why i'm getting a weave cuz i'm tired of curly hair but i don't wanna keep over heating my shit,Tiana_Cubana,-1.2
i barely noticed loneliness anymore; it was my normal condition. by necessity if not by nature.,selinnakyle,-0.25
either way you know it's going down. tell me how you like ittt,samamarie0924,-0.6
11:11 i wish people would actually want to be my friend,SoMe_GiRl_ThErE,0.2
i take real issue w/ the idea that women have a responsibility to not surrender the internet spaces where they get harassed to harassers,ImAmandaNelson,-0.5
still waiting for this...#whereareyou #soulmate #love #wordporn #quotes #quotestoliveby whiteelephantsandmagic,lucafex,-0.4
 @ yow kamusta po??? <happy>,eksotinkerbell,0.5
being able to share the history of #cdn radar vets gives me immeasurable pride. they were there on the beachhead. #dday70,mambolica,0.3333333333333333
another match #rcb set to lose!!!! sigh. such lazy fielding.,Sharanyashettyy,-1.4
 funny how this tweet is about about justice period. who's being selfish? i understand 9/11 and give my respects.,Sydni_Briana,1.0
shit about to go down,angelnieto101,-0.8
ok. craft project to relax after copy-edits: finally putting all the houses on the same map of paris,aliettedb,1.25
. if it was advised as public event. fair game. otherwise. not cool. either way. it beats tracking on icy roads in iowa in jan,BeckyRParks,1.0
cute dogs and good flavored lemonade have my heart,AnnellyVega,1.6
i hate hoes like that who make no sense !!,Singh39Rishabh,-1.2
hopefully i get them keys this week,Vonnoo_Mariee,1.5
me: *watches all of the harry potter movies and cries*,yourghostlyfox,-0.25
hey #newwest. check your #lotto tickets! someone won $74.000 in the 6/49! sadly it wasn't me.,alixcote,-0.6
ste should have fucking knocked them cunts out,abbiexmcmaster,-1.0
like couple days ago i remember falling asleep w/a bottle of polish on my bed then it went missing. found it later in my pillow case w t f,uknowcamille,-1.2
my dad's cat all up in my space ,TheAnglophiler,0.0
 *ignores &amp; looks away*,_Cindy_58,-1.0
it really pisses me off. when i see people with infants in the car. holding them instead of being in a car seat where they belong,samamarie0924,-0.75
one year ago today we started rehearsals for #1984play. incredible. committed work from a big (and growing) family of party members.,robertwicke,1.4
fly u and dom kennedy. perfect feel good music,AnnellyVega,1.6
i'm enjoying my new phone but navigating on it is a pain in the arse,LiamShikari,1.0
obviously melanie griffith is a bit miffed that she went from being melanie to being dakota johnson's mom. #awkward #theoscars,Island_Lvng_MW,0.2
the most inconsiderate ppl i have ever came across. like....lord have mercy.,schontherattler,-0.6
knowing me i'll probably try to throw one &amp; it won't curve.,Reemaveli,0.25
just putting a mannequin together but i only bothered with the legs out of all 4 limbs.. ah well. there's no arm in that...,TomBlott,0.4
 you're really attractive and you have really nice hands,yourghostlyfox,0.8
 wow. that's some fuckery.,Please_No_Pics,-2.0
when you're in love you remember 30% of your dreams.,4charitysystems,1.25
 do i just post whatever i want or do people ask me questions i don't know how this shit works but i think it's interesting lol.,bridezilla_life,1.2
i am damn sure the nhs grampian medical research stinks to high heaven.,HelenGavaghan,-0.5
 thanks for following v,6state,1.2
they just made me throw out an empty water bottle.......,rsgyergyek,-0.25
 same shes soooo fkin annoyin eh. u gon to prom btw??,zairaafzalxx,0.0
there are memorable characters who are badass. like deadpool. duke nukem and ellen ripley. but all of them have something on top of that.,Kal_L_Superman,1.2
are you proud of your schools nutrition services?,snaccards,-0.25
 still better than rule v draft tweets...,Dwade,0.4
just kidding guys just brought my backpack back to me.. #lifesaver,Tinijensen,1.2
 in english. weird.,MikeAlexander86,-1.4
ready to be home,pllllayer,1.3333333333333333
 he is the cutest asian grandpa ever omg hahahaha,ZeeAsianBarbie,1.75
there are over a million people in the world but when you call on god he is able to know your voice &amp; answer. what a great god he is. bless,zykxx,1.8
 haha nice catch. eagle eye! yes i didn't realise i had dropped to 887 (dropped someone to follow someone new; must've dropped 2),eileentso,0.0
perfect ending. one of my favorite series so far <happy>,janwesley,1.3333333333333333
the wailers are gonna be great in concert. i'm so excited,AnnellyVega,2.0
i'm old. it's been raining all week and the whole time i have been thinking wow. this will be so good for my new grass seed. #getoffmylawn,ccart31,1.6
 i love those books you can not put down!,corazenia,1.4
 i have many ok and also angels,runyonhanlon,0.8
 you could probably look up the specs on it to see what kind of watts and what not you need.,Cobblywobbly,1.2
well if justin anderson isn't going to uva next year then neither am i.,PPR_8,-0.8
yall kendrick is my life im so happy he won <happy>,ReLxuise,1.75
 been pretty successful across europe and on university campuses globally. worth taking a chance in to too! #eyesonthestreet,OpportunCity,1.6
yep! seriously. thank you guys so much. <love>,Harrison101HD,0.8
you no-eyebrow having. cake face. screw faced. tranny looking ratchet heifer! my goodness the shit i see #mypooreyes #icant #noshame,MelanieMMusic,-1.6
lol bae is the best i love you erica youre my only best friend i ever had in the whole universe,HereForTaylor8,2.0
when you try to be supportive but your friend starts yelling at you for like the billionth time ,Valkyrie_V,-0.4
 if you agree,sierrakinsey_,0.75
i'm gonna miss you.it's a goodbye,All1DGirlz,-1.2
i feel like this is our peak ahahhaa #bestfandomca2015 directioners,adorb_zayn,1.4
 great call as well and i totally totally agree with the 10 years ago thought. truly amazing. we all know kerr is winning it,jvanryn2424,1.4
studio flow and then radio station tomorrow.,rapcatchyhooks,0.75
monday best day to look for a job via shelby-utica patch,Arlene_HR,1.4
 yeah. that's what makes me nervous. but if he's not a moron. he's got to at least get some of the connotations!,MaraGreengrass,-1.2
exo - forever slaying music charts and music shows. let's reach to 20th win. congrats boys! good job to us (exo-l's) #callmebaby18thwin,eksotinkerbell,2.2
people who talk to you when their own friends aren't at school. but never tries to talk to you otherwise are the worst kind of people,MrsDaiki,0.4
idgaf about mayflower and pinocchio's fight,Shanza_k,-0.8
the tragic history behind soldiers' tower at the university of toronto. #lestweforget,OpportunCity,-0.8
 fucking paul jesus christ lmao no you dickhead. if you must know i like getting caressed behind the ear like a cat i'm weird ok,carolin3ngo,-0.6
i'll start with some work once i can be bothered to get up.,quartermaaster,0.0
 you can also grip a weight to your chest to make it harder. my lower back is dead after these so have fun.,Tbass_71,-0.2
 you're dead wrong. u spoke about &amp; her husband disrespectfully &amp; publicly but now u want to make up privately.,ChiquaMeii,-0.6
i love you albania.,Anitrela,1.8
paul tisdale meanwhile bemoaned another solid #ecfc defensive display being ruined by conceding a soft goal,MercuryPaddy,-0.2
life is like a yoyo. you have your ups and downs but you keep moving on. no slowing down.,wild_is_my_life,1.5
 even though became bitter enemies. both the soviets and nazis were socialist. excuse me for stating the obvious.,supergoodlus,-1.0
 we are fun.,selenecarreon,1.25
 you just out there. just,PhillipJCarter,-0.2
don't wear a mask just to impress everyone else. be who you are. just you.,chocoaddict23,1.25
hey just a holler to all the kids who get everything they want. and more. and still complain- re-assess your fucking life,bellzuh_,-1.2
 ugh she was taking forever lmao,AnnellyVega,0.4
goodnight . i'm happy? i don't think so,shivammay15,-1.0
i'm not going to forgive someone's views that are harmful to me just because you like most of their views on other people. i don't care.,mburnhope,-2.5
this line goes the length of a block. representing how long one woman was followed for. #whytechalkwalk #hollaback,dcwarwick,0.25
damn they been a block away from doing that since last game #smh,a1ABC123,-1.25
your first love will make you realize your first love wasn't your first love.,verenis_,-0.25
jimmy takes the piss when everyone else doesn't do well in the trials and then is complete and utter shit at all the trails he does,charlottexriri,-1.0
packing on 4 hours sleep with a new computer system that i am trying to learn. packing semi formal wear. casual...,sandystrohs,1.0
why is the 2nd 1412 ed still so godo. it's so good. it's so good. fuc,yui_shinobu,1.2
people have no substance. dude. a lot of people thought lay me down by sam smith was boring so he had to ask tiesto to make a mix of it.,_catmand00d,-0.4
a girl with kaleidoscope eyessss. cellophane flowers of yellow and green towering over your headd,caitlinnk_,1.2
crews working in frigid temps &amp; winds to upgrade for 104-yr-old antero reservoir. learn about the project:,DenverWater,1.5
coffee. ah. precious live blood. too bad i'll be vibrating through walls shortly after this.,CaffeinatedDead,-0.75
cam ur smile is contagious cause whenever u have a smile on ur face i have a smile on my face,twurkdallas_,1.8
 to bad we need baes for that,Shannon_Paige16,-0.2
five hundred fucking thousand bail for a fucking car.,x_VintageBesos,-1.25
 let's ban the question how do you feel? without it most of bbc reporters would be struck dumb. i am not impressed.,3cambrai,-1.2
who will take care of the baby boomers? huge caregiver shortage looms.,Arlene_HR,-1.3333333333333333
#worldcup2014 will never be as exciting as it could without ,Wenger_7,-1.0
 they are so fucking shallow. slave my life to them &amp; they're a bunch of arses. *stomps off for a sulk. flicking v's at the cats*,bar_bint,-0.75
 tis the roller coaster of spring + a helping of what your program so aptly explores! #instabilityisthenewnorm,OpportunCity,1.8
of course i trust pr officers. but it is not always sensible to tell them what one is doing and why.,HelenGavaghan,-0.75
jd and avila are clutch as fuck,AngryTigersFan,-1.2
 well. i am kind of flailing my arms at my computer.,zombierific,-0.25
oh happy day! #soulmates,cassandrahanif3,1.6
i'm sure he loves me so much.,bridezilla_life,2.75
one important thing to do once you have kids is to make time for your relationship.,CarverKrista,1.5
i am soooooooo fed up!!! just leave me alone! my life!!!!!,Ch3ryB3ary,-2.5
joe and matt work very well. despite there survival backgrounds #compromise #ondemand,a1ABC123,1.5
 great post. being a good doctor and surgeon is a lot about personal responsibility for your patients.,BrendonStilesMD,1.0
what other ppl want from me. and other ppls happiness. i do not hold my tongue anymore nor will i stand down when someone belittles me,RobbiZombi,0.0
 +time for adventures. since then. she's climbed pyramids in mexico. been on archaeological digs in the badlands...,ps_malone,1.4
 you ride with opps. sorry not sorry,StepOnMe_Ant,-1.0
so happy to be hame nd greetin a feel so much better,zairaafzalxx,1.25
proverbs 16:8 better is a little with righteousnessthan great revenues with injustice. #bible,zykxx,1.2
 you winning trophies seabiscuit?? no excuses.,younghov_,0.75
: movies and pickles just go together see you're a fuckin weirdo,selenecarreon,0.3333333333333333
 i hope so. our pass rush is terrible and freeney is old and injury prone. should have found room.,NathElCuchillo,1.0
 it's like the accelerated thing on your channel. great summary of things i missed.,balaneski,1.25
wife: no. safe house,adriantoomey,-0.8
i am unashamed to say i have taken this pm off &amp; i'm sunbathing.,Roseyanny,0.6
 it's surprisingly one of the cheaper blends and we love it. i use elevation in a roller tube on myself but it overstimulates sage.,GraceOnTheFarm,-0.3333333333333333
 but you are right about the difference in talent on the line. i bet chip upgrades that line in the draft.,adamwolfgang,1.2
hi daddy i miss u ,TOUCHDOWNIALL,0.0
that dull. drowsy. headachy feeling from too much sleep is so much better than that dull drowsy. headachy feeling from not enough...,rainadobson,-1.0
eh walao ok forget it nights,VanillAnaa,-0.75
 frick fine i'll write it,_karasunos,0.5
derek sivers: how to start a movement// brilliant! don't be afraid to be a 1st follower. #leadership #movement,cpugh,2.0
 okey dokie guys just kill us,sierrakinsey_,-1.75
i'm only stressed because it'll be like my fourth zero in that class,sjpurches,-1.4
but i keep forgetting that i have no friends,_ShystLife_,-1.8
 #backstrom and a cute dog like what more do you want,righteoustiger,1.0
hahahaha fuck you omg  : oh 2:30 now? haha okay i'll do my toes too,VanillAnaa,-0.5
lol watching the andy griffin show on netflix and its funny a hell...,zykxx,1.5
so sick of feeling like this!,X_Not_Perfect_X,-2.2
mad for blue skies. mad for golden sun. mad for only you.,Satori_Paris,1.4
the beautful #heidiklum looks flawless in #versace.,charitybuzzing,1.6
our moose jaw campus service leadership group is having their annual food bank drive. donations accepted at the bookstore until april 2.,SaskPolytech,0.4
#gemini : you put a smile to the world. the world will eventually returning smiles,ViralHoroscope,1.4
alex gaskarth's nose is boopable i love it sm,pixjeperry,1.0
i have a feeling that the someone might be replaced by another with great --,aromaticBayonet,-1.5
wait how do you do the star war emojis,ShawnnShawnns,0.4
trying and doing are two different things. when you try. you hope. when you do. you succeed.,hherreran1,1.8
why is this woman breathing like an ox.,yohhnaaa,-0.75
brilliant in porridge as well...,adriantoomey,1.0
 hopefully not. don't think i could set foot in the place again.,BlueCR4,-1.0
 lmfao no but my body attacks itself <happy> so thats fun,brenna_annalise,-0.25
 that's why i don't read comments most of the time lmao,silverfuckr,-0.5
stay in the water longer with the new hurley phantom wetsuit. less weight. more warmth. shop now,4charitysystems,1.2
 tfti on the food invite though bitches.,verenis_,0.2
i'm honestly tired of putting the effort to hang out with you.,ZeeAsianBarbie,-0.4
work is surprising good today,christhomsonn_,1.0
love how a lot of superstars are focused on going after the ic title now. the title actually looks important &amp; relevant again.,SupportingBryan,0.6
exs parents came into my restaurant. didn't wanna talk to her so she started crying. sorry but you still can't have a ride on my bandwagon,PhillipJCarter,0.0
 instead of bad plain steak try a steak pizzaoila or a homemade mongolian beef it is much better!!!!!!,Cadam02,0.6
bryce knows how many times i'll watch the music video to hold you down. just so i can hear dj khaled call his chick smart &amp; to say his name,anjellaye,0.5
 wtf that's so ugly did you update your phone or what should i not do to get that,taash_xo,-1.25
our freedom is incomplete without the freedom of the palestinians (nelson mandela) #gaza,benwuk,0.2
 no u can't....how will i support lou and i? it's my livelihood,CGommo,0.6
 sorry. i shall rejoice whenever i feel like an old school pararave,Hopeless_Bay,0.8
#collegein5words shit g2g it's ty spicer,bwittknee,-0.75
watch out for them cops dude. check yourself make sure you smooth,StepOnMe_Ant,0.2
 nashville is great. also recommend empire!,threelilbirdsss,1.6
i truly love rihanna.,Sweyram,1.25
this assignment is raping my soul,yohhnaaa,0.0
anxiously waiting for 9 o clock #empire,Tiana_Cubana,-0.4
 nice meeting you (possibly again) today..,NASCAR_WXMAN,1.2
its ok i'll see,azimahtan,1.25
 not eating actually makes you gain weight before loosing it. lol,_Cindy_58,-0.6
yes we even play with clean diapers #singlemom #family,Emma0839,0.8
if you have the courage,Leanne_Lindsey,1.6
 well it's not like it's gunna change anything hell just get fined then he'll quit or he'll get fired,TehhKota,-0.6
 i'm doing both...hahaha i'm a fair weather fan with the best of them lol,balaneski,1.2
so what time the 9ers getting walked?? lol,a1ABC123,-0.2
when someone try's to act like everything is normal when it is so not. &lt;&lt;&lt;,VarnerKaleigh,-1.0
when you like someone. and they flirt with someone and talk to them?!.!..!.!.)./&amp;/(:8/:)/!2 #kca #votelittlemixuk,royaljesy,0.2
grapes really are ckoking hazards. #damnitstrue,YoItsLilBlue,-0.4
philip cross: naomi klein is still an ignoramus on capitalism,financialpost,0.2
 but as with foreign affairs anyone should be able to do a better job than the last guy who had edu. that must be my3's logic <happy>,e4c5,0.0
 get yo ugly ass out my mentions nigga go talk to ya friends oops i mean your dog,ShainaDawnn,-2.0
 no i just don't believe that there are any mk dons supporters in america,PPR_8,-0.4
my folks like curmudgeon.,bonchette,-0.2
glad i bought mr. noodles for the fuckers that come over and never eat them???,r3beccagraham,-2.0
 i love your avatar.,Sweyram,1.5
 i know. the nerve of some people having love lives jeez,TheAnglophiler,0.0
 a great day for democracy. inclusiveness and (trying) to run a clean campaign. good work !,OpportunCity,2.0
its hard to believe that its been more than a year now that followed me and i became a #rowdie i am so glad that he did <happy>,Shania_Hansen,0.0
but today was just funny..,Zehquisha,1.5
banana chocolate chip cookie biscuits is what i think i made... inside is chewy like bread!!,uknowcamille,0.5
catchy hooks on itunes. be greedy and download multiple copies.,rapcatchyhooks,0.75
the amount of homework im getting everyday is absolutely ridiculous.,Shes_Hopeless,-0.8
its a stress that we all should feel. next it could be you.,younghov_,-0.6666666666666666
i have a sneaking suspicion you're really frankie grande's side account + also one of the nicest people on the planet and that's ok with me,runyonhanlon,0.8
watch arlene's segment on the better show #constantcontact,ArlenePellicane,0.4
thanks for joining. #lcsm,BrendonStilesMD,1.0
i'm living in the moment. but i'm working for the future. everything i do now. i make sure will benefit me somehow in my future.,Meet_Nallah,2.0
 -- the well hidden entrance.. revealing a whole new world.. it was beautiful.. empty.. but beautiful),aromaticBayonet,2.0
i love cnblue,peabunnytree,0.8
hate when ppl assume shit fucking mind your own business ya nosy fuck.,sundaexo,-1.4
gonna sleep bc bored,yourghostlyfox,-1.0
tbh hopefully i pass this chem test?,peabunnytree,1.5
 dunno . no expert. haven't done exhaustive search. haven't seen any criminality.,bonchette,0.2
all this is to say: i am confused and i am alone and i do not know how to proceed from these vertiginous thoughts. but somehow do so anyway,CleanMeadow,0.0
be careful of connecting with someone that's with you for what you do for them rather than being with you for who you are.,relaaationship,-1.0
 and you saying something like this isn't doing any help either....,CatieKing21,-0.75
 well he's not housebroken just dropped a huge deuce but he's cute ha,brydesantis,0.25
 if mcculloch thought there was no crime then he should have declined to present to gj,adrianraiford,-0.8
the amount of stuff i wanna pick up from the record store day list is ridiculous. im too broke for the releases to be so good this year,Elliecoll,-2.0
 yea i know you are but i've kinda ignored this year... at least we have more trophies than real since you got ronaldo!,sirgrantmorris,0.5
 ok will do!,_kialynn,1.2
seriously disappointed today with the lack of rain.i needed a freakin carwash now i have to pay for one! #drought #rain #sandiego #dirtycar,Michael_Vega,-1.2
goood morning and happy thursday!!! we all get to have the life we deserve!!!! everything you want to and get to...,IsaFueled,2.2
