Tweet,labels_for_settingB
i'd just like to mention that faye and margaux are equally as amazing. nuff said,1
chugged a liter of chocolate milk. my stomach is now reminding me that it was a bad idea..,0
my mom is my #preciousgift :3,1
thank you for making me a #nascar fan #94brickyard ,1
 there is!! it's nice to know people are here for me. <kiss>,1
hoe what the fuck is ur snapchat ,0
 i love you,1
you're such a fucking liar.,0
dear universe. jeremiah mcdonald talking to his 12 yr old self 20 years later... well. i love it. thanks for the laugh.,1
 thank you for your service!,1
#sagittarius are smart &amp;amp; sexy!,1
i once witnessed 2 of my managers standing 2 feet apart and screaming at each other. they were yelling but they were not communicating.,0
watching a fantastic online business training from ,1
that moment the stupid bitch thinks no one sees through her gold digging ass.,0
i almost forget. today makes 13 years since i had a girlfriend. that's 13 yrs having not even slept in a bed the whole night with a woman,0
 well. i suppose it's a clue in that i'm not you. which eliminates one person in the us. right?,0
 chili's is always worth it. the ribs are amazing!,1
unintentional girls' night. all my guy friends bailed...oh well. more food for us!,1
 lmao god dayum finally! btw gma is making ceviche friday so look forward to it and shoot thru 1x,1
 k so i'm at work. i love you. remember that.,1
good morning. it's gonna be a nice sunny day ..,1
feels like a hopkins-esque kind of insult...,0
everything victoria beckham does consciously/unconsciously has that delicious air of supremacy to it. she is everything i want to be,1
mom and dad (beth and carl) are both gone this weekend! i feel like aaron carter right now #aaronsparty #cierasparty,1
 this is beautiful!!!,1
hanging out with my tia ellie is fun af haha,1
lol. fuck the internet.,0
nobody can take away your pain. so don't let anyone take away your happiness.,1
finished your super popular tv series and can't believe how much money you made and want to make more?,1
#sagittarius are full of energy. versatility. adventurousness &amp;amp; eagerness.,1
i... i should of paid attention.. &gt; she began to sob more.. she's in great pain because of this mistake &lt; i bet he's moving on already..,0
 !!wow you have beautiful kids.. thanks 4 following. .good night! did u enjoy your wkend?,1
 ur weird as fuck,0
so till now looks like was to give shourie ji place in finance ministry which jaitely ji took away.. the bitterness is oozing.,0
 loved u on jingleball. hope my first concert is yours. bangerz tour 2014 whooooo,1
love all the new gold canyon scents .. want to smell them?,1
however good or bad a situation is. it will change.,1
drake is always a good choice. you can judge me. idec.,1
great article with some new uses of i hadn't thought of before! #edtech,1
this is a bad time for me,0
look how pretty this dress is i'm crying,0
i need to stop making assumptions like that. it makes me seem like a huge dick. i fucked up...,0
 he's a great guy. let me tell you.,1
i like clay's problem solving style #bittens2,1
. if nicola said we will not seek another referendum for a generation. we could all make peace. this is what i seek.,1
about mistakes and regrets: your mistake is all those times when you thought of suicide. lonely orphan alfredo.,0
why do so many people go out in public looking like crap?,0
 have fun....relax.....enjoy the sunshine <happy>,1
having fun playing a little bocci. pretty fun! @ campo di bocce,1
 hahahhahahahahahahahhahaha i hate youu hahaahhahahaha joker hahahahahha struggle*,0
//i'm a tactile learner. not even learning impaired. you know how fucking hard it was for me to learn time..? you cant touch time.,0
thanks for everything <happy> hopefully you get some rest in between all the excitement! #goflamesgo,1
 i played trumpet for 9 years. i might be able to help?,1
congrats to &amp; lucy for going low today!!#qualified #liscavo #usga #womensfourball #uswfourball ,1
 send me the original of ur avi pls n thx,1
obama - don't even say nothin to me boyyyy you look like a muhhfuckin uhhhhhhhh,0
mom i'm too ugly to go to school,0
it does not matter how slowly you go as long as you do not stop. fall down seven times - get up eight.,1
great start that looool fuck about,0
 went left and lost the english. but didn't go far enough to keep the scots. worse result than hague in 2001. rethinking needed.,0
i do feel a little better about myself reading the unmitigated jackassery of people thinking today is the earth's birthday. help ,1
this episode of ahs holy shit,0
if im gonna eat somebody. might as well be you <cool>,1
the #islamist triangle of southern #syria - a magnet for groups #israel says threaten its security:,0
 we are here for you louis. we love you.,1
 love you <kiss>,1
can already tell going out in a dual control car with my dad will be a disaster,0
 fuck sake chlo so have i!! what is life,0
ready for a jam packed day of fun and training at gold canyon palooza #gcpalooza2014,1
i'm not a patriot's fan. but i think belichick &amp; brady r gonna skool them kats from seattle. it takes more than swag to be a dynasty. baby!,1
hello. to all of you currently stalking my twitter. have a nice day and i hope you find $10 on the floor.,1
i feel for the oppressed. the marginalized. the abused. everyone in this country needs to stand with black people against police brutality.,1
 awww hopefully we'll meet irl and i'll hug chu so tight.,1
dear god i do not take forgranted what i have in this life. i know i would not be here without ...,1
if you could see how things were going to work out or see how god was gonna fix things.god wouldn't be asking you to trust him!,1
tomorrow as my first day being 17 i have to wake up at 6:30 take the sats and then go to work i just love responsibilities,1
done holding grudges with people. life's too short to have hate in your life,1
black and pink really dont look good together,0
 this is awesome!!!,1
#sagittarius - powered by fun!,1
#sagittarius likes to go shopping.,1
your attention please! no one is coming to save you! this life of yours is 100% your responsibility!,1
 happy birthday genesis! <happy> you are older now. yayyaya~,1
i just don't seem to be enjoying any food at all. i make myself eat but i just don't want to anymore,0
being a writer blows. it's like having homework every day for the rest of your life. yes. yep.,0
 just click on follow. it's easy,1
jd and avila are clutch as fuck,0
only a few more days before my iphone 4 bursts into flames and self-destructs when the new iphone 5 is released...,0
 breaking: browns announce they are close to finalizing a deal for rgiii with the .,1
i never have so much hatred towards someone,0
lol. i wonder why. and i apologise if its racist. that if i were to appoint a council of intelligentsia i'd struggle to find a white male.,0
his voice is so perfect im in love,1
the more you like yourself. the less you are like anyone else. which makes you unique. #quote walt #disney,1
overthinking has destroyed me,0
#cancer's can often get wrapped up in whatever is going wrong in life. but that have a good side. u usually dont change your opinion.,1
#sagittarius are one of the bravest signs.,1
mornings when i wake up in horrible moods. i run through a quick list of everything i have to be thankful for. then i'm good to go.,1
some parents were a bit tense and very reserved today. the kids at our center did wonderful. there were no conversations or questions,1
 dang. i am allergic to sweat! #shortcut,0
our new homeroom teacher actually makes us do stuff... its disgusting.,0
i always go to sleep listening to music . it never fails,1
 clear and effective presentation. great implementation of management techniques. nice work!,1
you fucked me like a child im clung to you i'm sorry daddy.,0
so yeah sorry guys i'm out of books. you people are too nice.,1
good game tonight cats won lets go beat providence tomorrow#gocats,1
be thankful to god especially during difficult times. it's what turns things around.,1
got to be a patron of the arts today. always fills me with pride.,1
repetitive. sorry. these sm duties likely farmed out to cottage industries happily profiting.,1
 wants you to come home is more than enough reason to have some major freaking conflict.,0
i hope appreciates what she's experiencing right now!,1
has been a rough frew months here. a huge ty to . . &amp; for getting me thru it. #grateful,1
loved my gift(s). thank you to my not-so-secret santa,1
and through it all.. you're still my favorite person,1
your true love will be your last love. all the others were just practice.,1
hi my name's amanda and i auto-ban people who use the term sjw as an insult *twirls*,0
 you're too kind. thank you.,1
nothing personal against andrej kramaric. but i hope his dream pl move goes horrifically wrong. bloody leicester splashing the cash,0
on the other side of all of what you're going through.is the fulfillment of the promises god's made to you!you'll need energy to get there!,1
pro 20:15 drinking from the beautiful chalice of knowledge is better than adorning oneself with gold and rare gems.,1
hmm so i was stalking you and i think im rlly in love,1
you know. #spiderman is a busy guy so thanks to he had time to talk to his uncle...#thanks,1
black people can't be on time for anyting man lol,0
 this day could not go any slower if it tried!,0
lmao farrah and this toolbag. she's so desperate. #teenmomog,0
if you still want me to stay. i will. i will because its what i want too. i loved to hear those beautiful words...,1
woman sexually assaulted in buntingford while waiting for early-morning bus,0
. i have been insulted. sworn at and stalked by people with badges that say 45 or yes. fury is the only word to describe it #snpout,0
 right. i'm just less sympathetic (and easy-going) towards comments like this that are from people who wander in.,1
 bennett most positive hahahaha...5% in the polls.,1
then threaten my 13 year old brother even more classy,0
 13 years since 9/11 and no major attacks on the homeland ... but torture and eit banned for 6 years and still no attack,0
download my free guide book and learn how to take time out from your 9 to 5.,1
en route to sheffield. hogging a table seat to myself. exciteeeeeeed,1
i hate when people tell me you have to talk more!! it's not that fucking easy.,0
 lmfao good point,1
but when you finally learn it. never let that feeling or that person go. because they are apart of the beauty in your life.,1
 prestigious title in wwe. i think brock winning hurts him but if reigns wins he'll cash in successfully.,1
 that would be excellent - definitely something to think about. excited! all depends on our schedule + cost. though,1
i'll be like ya medicine. you'll take every dose of me,1
fuck off with your eastenders shit,0
he's so gorgeous i can't,1
i am thankful... and i am happy!,1
on god. i'm not doing shit. i'll eat my own hands off before i do.,0
toffee apple tart is perfect for a sunday <happy>,1
he prays for peace.,1
hate is your reward for our love,0
one of the most important things to remember as you start out in this business is to stay true to yourself and your vision as an artist.,1
a common sentiment in #sagittarius: is that something is better to come. always. and do not want to miss it for the world,1
 rest is good!! if you like tea and you have some you should try that! feel better. okay? -3-,1
 thanks so much for adding me to your list - love it!,1
well april 11th 2015 will go down as the most perfect day of my life up to this point.,1
 it explains a lot! that's why he has been so encouraging with me. he knows how difficult it is to change.,1
 there had to be advantage of microsoft windows somewhere...,1
i honestly could give zero fucks about you and him,0
just came across this and needed to #share. isabella. your #photo and message say it all. #beautiful.,1
 right of center. so it's no surprise she's just cushioning the blow back of hp era.,0
seriously freshmen are really annoying !!,0
 happy weekend!,1
super fucking obvi that one isnt me .,0
#nothingbutnets: one net brings a big smile!,1
delete your social media for 3 weeks. see how many of your friends hit you up. you'll be surprised,1
working super late tonight. woot! woot!,1
 you bet on worthless #gop/#rwnjs. your creds zero. speak i here!,0
come out and see this beautiful man child at freebirds frisco,1
whatever keeps on troubling you.bothering you and making you worry.bring it to jesus and let him fix it;,1
cheers to good health!,1
great night tonight w/ music builds community thursdays feat. just n case band on pointttt!!!!!!! btw. i sang...,1
on my break i buy chicken tenders and instagram followers,1
not special. but tired day.,0
honoring #worldmentalhealthday with an inspiring breakfast with . &amp; this view #hopeandgrace,1
 i'm out here looking for house partys like i'm a youngin again haha,1
all the new teachers at school. just seem so annoying,0
 don't encourage him!!,0
 im so scared of your rubbing man,0
truly a classic.,1
 if you say it over and over it gets funnier,1
see if derby were winning 2-0. 4 minutes of added time could quite easily mean 8/9,1
 me too. every time i listen to it. it makes me sad. lol,0
 sigh. really had my hopes up then <sad>,1
the struggles of being poor,0
do all things with love.. <happy-tears>,1
 break a leg kid,0
payday for most! go out and buy ur loved one something special. even if it's your kid. spoil urself too of course! smile you have a nice one,1
 been pretty successful across europe and on university campuses globally. worth taking a chance in to too! #eyesonthestreet,1
a radically new approach looks good on paper because you reali... more for taurus,1
i need to start saving money for spring semester. #broke,1
and perfect af . . . ily,1
all is violent. all is bright,0
 *biggest hugs* you're a fighter. you'll get through this.,1
most people don't even love themselves...,0
#sagittarius radiate a sexy confidence that attracts everyone.,1
 love u so much,1
love u la haha,1
getcha self together. don't hate - jealousy's the ugliest trait.,1
 what do you enjoy doing?,1
 thanks! we just uploaded a couple of radio spots too:,1
special shoutout to and for their incredibly generous donations 2 my fundraising campaign!,1
life isn't a fairy tale. sorry cinderella you drunk ass hoe!!!! sort your life out girl! #quote #keepitreal,0
slept on the barracks. aint no change. still the same. so much pain cops murder blacks. i aint puttin up. my luck stuck. troubled ruble,0
it makes them feel like they were chosen over over the one he's with if he does it lol. sad that girls are that insecure to have to #tmlt,0
 that's a demon not fucking kittens i'm telling u,0
 this weekend for sure probably friday! and thank!,1
 congrats bbgurl. just picked up a shirt. couldn't be happier for you!,1
half of my classes for fall are being taught by my favourite professor. staff. i love staff. they're a really good professor.,1
i am pretty sure everyone is waiting for yoongi to sing,1
hey just a holler to all the kids who get everything they want. and more. and still complain- re-assess your fucking life,0
love you vs i love you,1
so i don't give a fuck if nobody like me.,0
don't worry world. i made it home.,1
happy happy birthday,1
 ok but real talk though it's exactly the same because i posted it first u slug,0
gray and green nursery: i like how simple it is. not overdone. no paint color listed though.,1
 hey girl.! we need you back cheering at the gym.! ya in.? <happy>,1
don't worry dear 1.god's gotcha..he knows what you have need of and is working to bring what you need to you!,1
make the most of today because tomorrow is not promised to anyone.,1
 bangbang title i agree n then it shud b tu hai from mr.x,1
is life a life itself? is it's true purpose. to question everyone else's purpose? does it gain life after killing off someone?,0
adjusting to a different time zone is a bit more difficult than i remember it being,0
i'm like the perfect female best friend though.,1
me. jesus. & tony got our sweat on this lovely am. #youcandoitevenifalone,1
good music. ye weather,1
i'm so hungry i think i'm going to like die,0
 thank you lol xd,1
fucking done with the bullshit.,0
so proud that publication on prisoners' rights is being used by citizens' information. great work.,1
 y'all the shit... hope yall know that lol.,1
if #israel says it will complete destruction of #hamas tunnels within hours. did it come across a map showing it's got them all? #gaza,0
 in english. weird.,0
#sagittarius love being able to relate to people.,1
dog just gave me a heart attack. started hyper ventilating in her sleep,0
watching videos of spring break is painfulllll,0
i literally always expect people to reply to me in 3 seconds it's so funny,1
toff has bad skin,0
fucking embarrassing. this team needs to get its fucking shit together. goddammit.,0
alright. damn it. let's settle this once and for all: what is the worst place to get a zit?,0
we all deserve happiness.,1
 he won the last round on the cards,1
 more green lanternism. if only obama would engage with his opponents and show leadership. such crap,0
... and there it is-- the ticking bomb... which is about to blow up thanks to owen-- in a uniform? #imsoconfused #greysanatomy,0
give pll a little more credit,1
so glad my resistance bands arrived today. welcome back flexibility! #goals,1
worry about cashmans closing ability. when he is 40m over next offer he,0
 best use of a plastic box i've ever seen,1
oh my god @ people's stupidity,0
 aww that was very sweet of you <happy> i'll let you know! i'm sure it'll be here tomorrow! <kiss>,1
so. last week halfway through my job interview i was offered the teaching position in rwanda! thanks to all who've made me successful!,1
what i discovered to be the #1 game changer in my life &amp; business this year,1
the thing is. i can say kill tories all i want but we will still never have a 1 tory dead to every 100 disabled people ratio. sad.,0
happy #freespirit friday - we are the dreamers. the lovers. believers. the change makers #freeyourmind xxx,1
 trust me babes i'd have the time of my life,1
 with black hair. i'm a fan.,1
 good day kind sir. what say you of this?,1
 oh ok. you have to send me your 411. my #'s are the same.,1
it was a grandfather of the smal/fun maps we have today!,1
you have more active followers than josh allen -anon ( the shade is real ),1
 you should use the next 3 days off to find your balls. you're playing garbage. what happened to aggressive teague? man up dude.,0
 thanks em tay!!!,1
happy birthday ! hope you have a great day!,1
everything in life has its meaning. people would stay. they would also go for a reason. life is so beautiful to enjoy. ignore the problem.,1
 have a good day everyone!!,1
i just keep on making the same mistakes,0
over 91 km...not a bad week of #walking. especially after of year of severe achilles tendonitis. then rehab. #fitbit,1
i'm not a pastor and i'm not speaking to the pews. besides. the pews are either empty or full of heckling unbelievers.,0
watching the two teams we could b playing. so pumped,1
 thank you scott! x and you're a credit to and #thurrock too!,1
 and yet israel has a tendency to bomb unrwa schools &amp; hospitals! nowhere is safe <sad>,0
so excited!! what is happening!?! #doctorwho50th,1
this show is pissing me off,0
 i'm so pissed,0
i'm sure he loves me so much.,1
i wouldn't be so against my dad if he knew half the person i am.. i tried to have him in my life but just seemed he didn't care,0
my parents at like i broke my car and it's my fault i have school lol.,0
 i broke a nail on my dominant hand i am obviously more distressed,0
 it's like hearing music for the first time. i've been missing so much complexity. and noise canceling in earbuds whaaaaaat?!,1
good news for those who breathe in #berks: we don't get a failing grade in air quality.,1
because i'm feel good,1
what i hate: the eye that sees no farther than its own lashes.,0
watching sportcentre rant about lebron is suffering,0
like i remember i used to dislike her for no reason but nah i was dumb she's adorable and really nice and her songs are great ok,1
 definitely gives the best hugs! so happy you got into vip <happy>,1
work night from hell,0
yay got my first pair of people ask me for my photo today. officially famous,1
happy st. patrick's day!,1
...and why the hell is the final in june anyway? smh.,0
thank you louis <happy> youre the bestt #tomlinsonslaysagain,1
in god's time + his own way he will change your sorrow into gladness.god won't let you down.he will rescue you!keep seeking him!,1
my darling is getting her vaccines today!!!! #singlemom,1
 yeah they good,1
 good luck and godspeed.,1
wait where the fuck am i,0
 i heard screaming so propably,0
me and my teacher have a lot in common,1
no one cares. you're a whore.,0
the only thing i was looking forward to is eat cereal this morning. i open the fridge. theres no fucking milk! fuck people here don't,0
why do i have to take the heat for all this shit when i didn't even say anything,0
a friend is someone who understand your past. believes in your future. and accepts you today just the way you are.,1
focus on yourself today and keep it simple. remind yourself what you want to see happen and be joyful about the possibilities#newperspective,1
my friends are cool.,1
ooo one of 's quotes came out in reader's digest. i like readers digest.,1
it just goes from bad to worse...,0
 another persons happiness is not your responsibility. kindness is up to you. happiness is a personal decision everyone makes.,1
so much love thank you! so glad you are all enjoying my coaching bundle! $5 from each bundle goes to feeding america!,1
i feel like i'm gonna love daydream a lot haha my bio is already lyrics from that song,1
need on the scoop on all things palooza follow me #gcpalooza2014,1
the best part of sunday is #brunch:,1
want to change your life by changing your career? take a look at my free guide,1
it is the mark of great people to treat trifles as trifles and important matters as important. - doris lessing,1
i love watching girl code,1
 i hate u liar,0
i'm beyond sore today jesus fuck leave me to die,0
fascinating and touching piece on paul simon's graceland on bbc tonight. just the best album. beautiful &amp; moving &amp; incredible to dance to.,1
i can't express how amazing this weekend is gonna be,1
when ur country media cnt evn respect the gud work of armed forces &amp; drag them into muck u knw hw low they hve stooped #shameonindianmedia,0
spectacular match from neville &amp; ziggler. so impressed by neville &amp; the way he's performed ever since being called up. #raw,1
honestly though my nose is far too fat to look anything like jodie foster,0
sweet yellow bone thing i call her honey mustard.,1
this time change is killing me.,0
 when you try your best but you don't succeed,0
 it's not the actors fault when the movie sucks. hell. look at catwoman.,0
but i keep forgetting that i have no friends,0
 that actually looks pretty good tbh. might have to pick it up,1
 not necessarily. but i certainly wouldn't be upset if i could do that.,1
the wise words of steve! ,1
understanding is probably the most important thing about any relationship between humans.,1
first time i've ever walked out of class after a calculus quiz feeling good.,1
 just got in. now. i'm packing to head to charleston. sc for a show tomorrow. it's good to be working!,1
keep yo ass on a string for years. thinking he love you when really he using you. but y'all don't peep game.,0
 you love boston.,1
 thanks for sharing xeriscape info. you can find resources &amp; plans on our website:,1
 please don't- i know things may seem really dark right now and nothing is going right but please- please stay strong,1
everyone can just piss off and leave me alone,0
this is what i call a tranquil working environment!,1
always try to give the world. as much love and goodness as you can .. #healingthoughts,1
re you a smart woman who is seeking a deeper spiritual connection in life and business?,1
you're a little fucking slut.,0
i loved the introduction of captain hook to #onceuponatime! this may be my new favorite storyline in the show.,1
i got the job !!!! praise god !!,1
 i am not a big cog. but i do agree. less shouting and aggression but lots of light and room for us to make our minds up,1
take a deep breath and remind yourself that happiness is important. do something today to put a smile on your face. #newperspective,1
applying to jobs is stressful... i feel like i don't know anything even though i'm about to graduate.,0
the jokes on me and it ain't funny everybody could see the punchline coming from a mile away,0
god i love food. i'm so glad i'm running the 2 laps everyday honestly!,1
 you never listen. do you? get out of there! *she says upsetly*,0
fucking hate having sleep paralysis,0
fuck twitter. fuck my life. <angry>,0
i lowkey dont trust wattpad anymore <skeptical> i use,0
 oh but we're welsh. apparently we're just bad losers when we have a go at the ref.,0
practice #gratitude daily because...,1
god can bring new possibilities into your life when you acknowledge him and allow him to direct your path!,1
 btw... those nine grandchildren on your page.... impressive!! good info. share.,1
actually. the most annoying group are self righteous liberals who act like celebrating the 4th of july is literally the worst thing ever,0
why would anyone announce their pregnancy via text? as these responses show. it's probably not a good idea!,0
and guess what most ceos are? white old fuckin men,0
asshole #assad in #syria and his itunes playlist:,0
about last night.......awesome!!!!!,1
 is a ledgend . ily bro ! #based #positive #bitchmob,1
april fools aka the most stupid and shitty and pointless day?,0
 sounds like a plan. though am busy on wed/thu. how about one night next week? we could have you guys over... nae football though!,1
laser target your exact audience or niche. get their attention 24/7. 99% automated. 100% effective. signup for free!,1
 im just saying you wouldnt expect that from them so im a lil pissed off... anyways next,0
i'm so thankful right now. just got the call that said i'm approved for my apartment !!! .,1
i'm thankful for knowing great people here,1
 busted xbox one drive. not the best of my xmas surprises.,0
coupla others did nice tw longer essays i enjoyed. i'll dig around for 'em if you're into it ,1
felt better knowing nd hearing how people actually felt about me then just finding out so ate after you've invested yourself.,1
 nuthin! happy. friendly humourous scots... what's the problem? <happy>,1
u r in my mind... i cannot forget abt u... i wanna say i love u but its so hard to say...,1
: i want friends i volunteer,1
 how do i sign up for the fabian women mentoring scheme. please? many thanks. ella,1
everyone take the time to look at the moon because it's doing very cute things right now,1
nothing is ever wrong. we learn from every step we take. whatever you did today was the way it was meant to be. be proud of you,1
don't let the world make you sad because it compares you to some one else.choose to be who god created you to be not a copy of some 1 else!,1
you seth rollins are one dumb bastard.-randy orton,0
 yeah... she said she was afraid to admit that and worry people but i think i was able to convince her to at least tell someone,1
talk about whatever is in your heart and realize how important it is. share your feelings with those who are dear to you. #newperspective,1
the anxiety of losing it,0
proud of jv today by getting that w. great job boy. you played your heart out and got 22-0 ,1
on my way to sydney airport to drop my mum off! wish her a safe and fun file holiday!,1
hello. single ladies. meet my friend. paul. he's employed. he's english. and he's good with babies....,1
faith... sees the invisible. believes the unbelievable. receives the impossible. hello friend.. <happy-tears> ,1
i'm gonna miss you.it's a goodbye,0
 thanks for you help. i hope they follow-up!,1
looking at my class schedule for the fall scares me.,0
some people just photograph well,1
what i dont get is . how did i put you in this position? i made it fucking clear he means nothing to me and that im focusing on you,0
i wish i didn't watch that video. it traumatized me.,0
 follow all the fans please,1
already irritated and on top of that i have to work which means deal with ppl,0
save the date!,1
man im playing sonic adventure dx for the first time in like a decade and im just strolling through memory lane of my sonic phase,1
idk i lurked it a while. got annoying fast,0
spring break = ruined,0
broncos can suck dicks !!,0
i hear my bed calling nighty night. hope you have a fantastic afternoon/ night,1
hiii hope your day is going well. if you happen to see this. would u perhaps follow me? it would mean a lot!,1
this is how i look like and i don't feel beautiful,0
i just introduced my mum to emojis and she looked at me like i'd given her the meaning of life,1
hop over to my blog and enter to win the book never be the same new year still...new you!,1
#sagittarius own the night because we can make you experience true ecstasy then make you breakfast in the morning.,1
pretty much ready to go home #vacationedout #sunburn,1
love getting all my work done and actually being able to enjoy the weekend.,1
home opener. know nothing about sports so asking fun questions such as. why does everyone get so excited when there is no real hope?,0
a #aries has the confidence to seize the day.,1
shut the fuck up!,0
 whats ur favorite party favors lol,1
realizing that hit so fucking hard right now.,0
loyal band of fans meet weekly in welsh village pub to discuss their hero. legend john wark #ipswich,1
some some shit shouldn't be tweeted....,0
grand winner of #himighandog mahal ko o mahal ako by kz tandingan! #congratulations! deserving ka din <happy>,1
1. i'm not a slut 2. i'm not one of nate's night stand 3. why on earth would i fuck nate,0
psychological fact: your mind rewrites the speech of boring people to make it sound more interesting.,1
soooo soo blessed. just got the sweetest most thoughtful. &amp; very helpful gift anyone has ever given me! #lucky #grateful #thankyou <happy>,1
seeing the beauty..,1
i just bought an apron that says mr. good lookin' is cookin! if you wanna currently know how carefully i plan my budget each day.,1
i don't hate you. i'm just disappointed you turned into everything you said you'd never be.,0
 but i end up telling you want you wanna hear hahahahaha but youre not ready and its so frustrating,0
i love #exo kai #callmebaby,1
#charitytuesday: shop #4charity: save animals,1
besides. living together. we'd celebrate my 26th birthday (friday this week). maybe we would have romantic dinner at home.,1
my laptop is running pretty fast tonight. this is an enjoyable development.,1
always be the type of person people come to when they're having a bad day. whether it being for advice. a hug or just some positive company.,1
don't miss this call tonight!,1
 a cast a cast god my puphe autocorrectsd in so sorry a cast not.. ugh,0
 happy birthday corissa!! hope you're having a great day!,1
stupid ppl gif high hopes aft that say cannot...,0
 definitely! (common expectation. though - so smart to mention there's no 'lake access' to avoid surprises!),1
 siobhan all these ppl want me to sniff ur toe i won't do it,0
glad to know that it's going to be in the mid 20s in vienna next week. turn for some sun and heat #vienna2015,1
yes i found the perfect song for my mood rn,1
yak baba ng jobstreet english language assessment score ko! pero at least 10/10 ako sa conversational at comprehension part haha!,1
did two presentations yesterday. for someone who dropped speech 7 times i really enjoy it. i need to do it more.,1
now that my dissertation is submitted. i can finally get all excited for berlin!,1
your favourite dancehall song?,1
on behalf of the board of . i am delighted to welcome as our new executive director.,1
mfs will play you &amp; i still remain my loyalty,1
 i lsiterall y can t stop laughting,1
she loooves popcorn lol,1
ahhhh i love this lady. fit toned &amp; athletic,1
like couple days ago i remember falling asleep w/a bottle of polish on my bed then it went missing. found it later in my pillow case w t f,0
great synopsis #abvote #ableg #abpoli,1
 u piff ting ((hope today went well)),1
this fucking laptop keeps shutting down by itself im out,0
wow thanks for all the likes please go follow this amazing account,1
we look forward to seeing u tonight @ the university chick-fil-a! will be playing live. #spiritni,1
 thought you might appreciate this...,1
jesus christ i'm only 3 minutes into extreme russia ... and i already feel sick. this is effing crazy.,0
can someone fill me in on wtf is happening to the countdown community? it seems like everyone's attacking each other what gives?? #confused,0
i can't sleep so i'm like fuck it i'll finally do my health and safety for work #forthemillionthtime #nevergetaway,0
i wouldn't be half the person i am without my circle of friends and family. they keep it 100. and they keep me in check.,1
 guess who's here at happy grill plus. stat crushie haha,1
don't worry be happy,1
 i love you thank you for showing me what it means to be true friends and what it means to love someone conditionally,1
stupid stupid snow. die snow.,0
are you getting the best out of your suit? check out our newest blog post about how men's suits should fit,1
jandon is life. they are the cutest thing in the history of history.,1
. not universally. but the cons were destroyed in scotland &amp; large numbers of people do hate them,0
i need to get out this damn car,0
story of the $4 toilet &amp; 7 other ways to save the world,1
 let's ban the question how do you feel? without it most of bbc reporters would be struck dumb. i am not impressed.,0
my shoulder is distracting????? i'm sorry people's b.o. is what is really distracting,0
 i think you and i see different things when we look at those plots. cool <happy>,1
full tank of gas. a blunt &amp; a half. &amp; a nice 30 minute drive ahead of me,1
i've never had any interest in british politics. but anytime a conservative wins. whether it be in england or estonia. i'm pleased.,1
 probabpy the concession but the reanimator vs dredge match is the funniest thing i've seen all weekend.,1
you don't love someone for their looks. or their clothes. or their fancy car. but because they sing a song only you can hear.,1
eagles have to be looking to flip bradford to move up right?? #nflfreeagency,0
kaylas my pet. but that doesn't mean she can't have a pet of her own haha!,1
one more thing look at the second picture. his hair is beautiful as fuck ill actually cry if he ever cuts it istg,1
 thanks chris. actually. i have been working on some money making schemes lately <laugh>,1
 :) mitch ur a great guy,1
cannot return to the apt til all my shits done. lol fuck,0
well... that was just about the most uncomfortable performance ever.,0
let it go deserves to win best original song! #theoscars2014,1
they smile to your face. but talk behind your back. bruh,0
happy holidays #pajamaday #happy #holidays#friends#earlychildhoodexperience,1
 in my day uoc chem was good. not outstanding but we still had a few brilliant lecturers. and we and prof jno visiting ,1
 ok k got it,1
family goals : happy halloween from gotham city!!,1
he looks so cute when he drives. lol,1
 oh but u like that. right? u said u love it. sad n sorry soul. smh.,0
my sister is taking up half of my seat with her leg and i'm about to lose my shit.,0
uh especially when they're destroying you maybe,0
young children learn language best when it's presented by a live person and not a screen. #growingupsocial,1
beautiful evening at one enchanted evening fundraiser last night. proud to support all the good work this organization does!,1
honored to join the business that loves you back blog tour with ! building a biz and life you love!,1
 maths-.- haha! ah noo it will be fine. think positive!,1
 thank you for the follow! look forward to sharing!,1
you spent your whole life looking for the truth. sometimes the truth just sucks.,0
 ah well then... i guess i'll shut up then...,0
 hahhahahha spoken like true meetha lover!,1
let me love you,1
okay so i'm watching some national geographic shit on predatory animals &amp; so yeah i'm never watching lion king the same again,0
 always an excellent choice. always.,1
 don't worry- you can fly solo! there will be loads of people who don't know anyone else. <happy> don't let it hold you back!,1
ive been waiting for 17 years for this tour good luck sweetheart i love you forever and ever like ever ,1
i need $109 to fix my phone and im crying so much,0
this is a disappointing fight rn,0
 not a bad complaint indeed. all good thanks. great to see the family doing well!,1
 what the fuck no,0
the more you know who you are and what you want the less you'll let things upset you.,1
the worst thing about wanting you is that i know i cant have you ... because i will fuck up and i already am slowly,0
you gotta appreciate the little things in life,1
glad i bought mr. noodles for the fuckers that come over and never eat them???,0
 awesome. i may be one of the few people who wanted this. lol,1
best night at trinity,1
what to prize above all else in the world: lessons from a soviet forced labor camp,1
just because you forgive someone doesn't always mean you're inviting them back into your life. forgiveness makes letting go easier.,1
words cannot express my excitement #abvote,1
 i think it's moved a bit. clearly playing the long game,1
i feel so popular going on facebook considering on go on it maybe once a month or less #notificationsfordays,1
be strong enough to let go. be wise enough to know when to do so,1
 //qaq so much love,1
maybe that's a problem.,0
 and i on our way to #thepasendaplayhouse to watch #sleepingbeauty with #oliviaholt. #excited,1
you not about to attempt to put my business on social media just cause you allow all of your shit on here. dirty little cunt.,0
